frame,mode,readback_ms,frame_ms
8314,DB_ON,6.0634,12.2445
8315,DB_ON,5.0264,10.1762
8316,DB_ON,5.3039,11.1053
8317,DB_ON,5.3435,10.2189
8318,DB_ON,6.1664,12.342
8319,DB_ON,4.5367,9.5346
8320,DB_ON,5.8614,11.4084
8321,DB_ON,5.6299,11.0808
8322,DB_ON,5.0924,10.8984
8323,DB_ON,5.5046,10.5461
8324,DB_ON,5.9806,11.5267
8325,DB_ON,5.0733,11.0172
8326,DB_ON,4.9919,10.63
8327,DB_ON,5.2434,10.0264
8328,DB_ON,6.2677,11.6912
8329,DB_ON,5.5276,10.2897
8330,DB_ON,5.8015,11.501
8331,DB_ON,5.3289,10.0378
8332,DB_ON,6.3723,11.8249
8333,DB_ON,5.3954,10.5575
8334,DB_ON,5.7086,11.2268
8335,DB_ON,5.3046,9.9451
8336,DB_ON,5.8857,11.3171
8337,DB_ON,5.2586,9.736
8338,DB_ON,5.6591,10.947
8339,DB_ON,5.8159,10.9798
8340,DB_ON,5.1227,10.843
8341,DB_ON,4.9572,9.9883
8342,DB_ON,6.0865,11.5839
8343,DB_ON,5.5574,10.1302
8344,DB_ON,6.2999,11.8595
8345,DB_ON,5.2398,10.395
8346,DB_ON,5.3823,10.7933
8347,DB_ON,6.0858,10.7702
8348,DB_ON,6.1764,11.6511
8349,DB_ON,5.4384,10.039
8350,DB_ON,6.1887,11.9956
8351,DB_ON,5.3334,10.3661
8352,DB_ON,5.6688,11.5583
8353,DB_ON,5.5624,10.1441
8354,DB_ON,6.0623,11.7459
8355,DB_ON,5.7645,10.7934
8356,DB_ON,5.955,11.8806
8357,DB_ON,5.2878,10.7979
8358,DB_ON,5.2504,11.3309
8359,DB_ON,4.936,10.8239
8360,DB_ON,4.3452,10.9944
8361,DB_ON,3.933,9.7054
8362,DB_ON,5.0771,12.3066
8363,DB_ON,3.6826,9.2234
8364,DB_ON,5.1091,11.746
8365,DB_ON,3.8908,9.9702
8366,DB_ON,4.7761,11.4802
8367,DB_ON,4.2097,10.5082
8368,DB_ON,4.5129,11.3796
8369,DB_ON,4.4042,10.7828
8370,DB_ON,4.1246,11.2892
8371,DB_ON,3.9872,10.9264
8372,DB_ON,4.163,11.5419
8373,DB_ON,3.4679,10.2405
8374,DB_ON,4.2188,11.7464
8375,DB_ON,3.3639,10.7829
8376,DB_ON,3.4062,11.2379
8377,DB_ON,2.6721,10.1506
8378,DB_ON,3.1942,11.2114
8379,DB_ON,3.1708,10.9078
8380,DB_ON,2.713,11.021
8381,DB_ON,2.8558,11.4313
8382,DB_ON,1.513,10.3439
8383,DB_ON,2.674,10.7698
8384,DB_ON,2.5249,10.5386
8385,DB_ON,2.8521,10.2066
8386,DB_ON,3.4071,11.8627
8387,DB_ON,2.2363,10.3838
8388,DB_ON,2.7232,10.8958
8389,DB_ON,3.2644,10.3737
8390,DB_ON,3.5541,11.8012
8391,DB_ON,2.6796,10.7919
8392,DB_ON,2.9185,10.8538
8393,DB_ON,3.0425,11.172
8394,DB_ON,2.3586,10.8562
8395,DB_ON,2.7863,10.862
8396,DB_ON,2.9232,11.5778
8397,DB_ON,1.8841,10.0816
8398,DB_ON,2.7653,10.7974
8399,DB_ON,2.885,11.0221
8400,DB_ON,2.1881,10.9446
8401,DB_ON,2.6377,10.6859
8402,DB_ON,2.9189,11.2967
8403,DB_ON,2.5938,10.2893
8404,DB_ON,3.2428,11.2225
8405,DB_ON,2.6374,10.4999
8406,DB_ON,2.744,11.6533
8407,DB_ON,2.1107,10.5943
8408,DB_ON,2.4138,10.7921
8409,DB_ON,2.3213,10.2927
8410,DB_ON,3.1872,11.8624
8411,DB_ON,2.4927,10.6691
8412,DB_ON,2.778,10.7878
8413,DB_ON,2.9041,11.0693
8414,DB_ON,2.3711,11.2075
8415,DB_ON,2.1481,10.6128
8416,DB_ON,2.8376,10.9502
8417,DB_ON,2.9477,11.5059
8418,DB_ON,2.0723,10.794
8419,DB_ON,2.5857,11.0127
8420,DB_ON,1.8972,10.6185
8421,DB_ON,2.7658,10.7917
8422,DB_ON,2.9801,10.9602
8423,DB_ON,2.956,11.4391
8424,DB_ON,2.1484,10.8318
8425,DB_ON,2.918,10.9283
8426,DB_ON,2.4154,10.8363
8427,DB_ON,2.7387,11.1468
8428,DB_ON,2.9753,11.338
8429,DB_ON,2.8102,11.2711
8430,DB_ON,1.5272,10.825
8431,DB_ON,2.2279,10.9815
8432,DB_ON,2.2269,10.9714
8433,DB_ON,2.5642,10.7259
8434,DB_ON,2.6308,11.1522
8435,DB_ON,2.7084,11.1564
8436,DB_ON,2.5028,10.933
8437,DB_ON,2.5041,10.5559
8438,DB_ON,2.6261,11.3834
8439,DB_ON,2.5354,10.636
8440,DB_ON,2.9149,11.355
8441,DB_ON,2.7148,11.2349
8442,DB_ON,2.2197,10.7347
8443,DB_ON,2.4889,10.8823
8444,DB_ON,2.2864,10.9954
8445,DB_ON,2.5478,10.749
8446,DB_ON,2.4998,11.5585
8447,DB_ON,2.4091,10.9154
8448,DB_ON,2.2658,10.5636
8449,DB_ON,2.6626,12.1068
8450,DB_ON,6.9988,16.5069
8451,DB_ON,6.7128,16.1621
8452,DB_ON,7.4571,15.9254
8453,DB_ON,2.7764,10.8567
8454,DB_ON,2.6134,11.0915
8455,DB_ON,2.027,9.9629
8456,DB_ON,2.1755,10.8271
8457,DB_ON,2.7629,10.4124
8458,DB_ON,3.1981,12.5085
8459,DB_ON,6.8104,15.2666
8460,DB_ON,1.3727,11.1269
8461,DB_ON,7.0041,15.541
8462,DB_ON,2.7582,11.0811
8463,DB_ON,2.5447,10.8329
8464,DB_ON,2.7365,11.38
8465,DB_ON,1.9918,9.8466
8466,DB_ON,3.4001,12.7393
8467,DB_ON,6.9289,14.3945
8468,DB_ON,3.4807,11.8408
8469,DB_ON,2.224,10.224
8470,DB_ON,3.2317,11.508
8471,DB_ON,2.6418,10.9175
8472,DB_ON,2.3353,10.399
8473,DB_ON,2.6883,11.0829
8474,DB_ON,2.7649,11.1374
8475,DB_ON,2.2718,10.1149
8476,DB_ON,3.5596,11.9988
8477,DB_ON,1.9717,9.9618
8478,DB_ON,3.3086,11.3122
8479,DB_ON,3.0558,10.8807
8480,DB_ON,3.069,11.5711
8481,DB_ON,2.0036,10.0462
8482,DB_ON,3.3223,11.7038
8483,DB_ON,2.2444,9.9736
8484,DB_ON,3.3754,11.4691
8485,DB_ON,2.9148,10.7076
8486,DB_ON,3.1176,11.6084
8487,DB_ON,2.4917,9.9555
8488,DB_ON,3.8157,11.7103
8489,DB_ON,2.4824,10.127
8490,DB_ON,3.805,11.7913
